commit.sha,file.sha,file.filename,file.previous_filename,file.last_modified,file.status,file.changes,file.additions,file.deletions,file.blob_url,file.patch
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,d2994f6098f7032c1b7c090c96187a53e49acde4,README.md,,"Thu, 03 Jun 2021 04:10:57 GMT",modified,16,8,8,https://github.com/CrashCumber/audio_vizual_information/blob/1c254c98e59a236f1ce25257e911e2ca8ccfcc29/README.md,"@@ -2,19 +2,19 @@
 ## Автор Аскреткова Валентина
 ### Группа Б18-514
 
-- [отчет по первой лабораторной работе ](laba_1/README.md)
+- [отчет по первой лабораторной работе: Передискретизация, обесцвечивание и бинаризация растровых изображений ](laba_1/README.md)
   
-- [отчет по второй лабораторной работе ](laba_2/README.md)
+- [отчет по второй лабораторной работе: Фильтрация изображений и морфологические операции ](laba_2/README.md)
 
-- [отчет по третьей лабораторной работе ](laba_3/README.md)
+- [отчет по третьей лабораторной работе: Выделение контуров на изображении ](laba_3/README.md)
 
-- [отчет по четвертой лабораторной работе ](laba_4/README.md)
+- [отчет по четвертой лабораторной работе: Выделение признаков символов ](laba_4/README.md)
 
-- [отчет по пятой лабораторной работе ](laba_5/README.md)
+- [отчет по пятой лабораторной работе: Сегментация текста ](laba_5/README.md)
 
-- [отчет по шестой лабораторной работе ](laba_6/README.md)
+- [отчет по шестой лабораторной работе: Классификация на основе признаков, анализ профилей ](laba_6/README.md)
 
-- [отчет по седьмой лабораторной работе ](laba_7/README.md)
+- [отчет по седьмой лабораторной работе: Текстурный анализ ](laba_7/README.md)
 
-- [отчет по восьмой лабораторной работе ](laba_8/README.md)
+- [отчет по восьмой лабораторной работе: Контрастирование ](laba_8/README.md)
 "
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,1c4fece865573e018e57f79af72cbe3c71dd2b4e,laba_5/README.md,,"Thu, 03 Jun 2021 04:10:57 GMT",modified,3,3,0,https://github.com/CrashCumber/audio_vizual_information/blob/1c254c98e59a236f1ce25257e911e2ca8ccfcc29/laba_5%2FREADME.md,"@@ -38,8 +38,11 @@
  ]
 
 
+
+
 ```
 
+### Процент совпадения 100 %
 ## Профили 
 
  "
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,33171a4a31d42cdc30d0a0dedd50f9124bd02b90,laba_6/README.md,,"Thu, 03 Jun 2021 04:10:57 GMT",modified,2,2,0,https://github.com/CrashCumber/audio_vizual_information/blob/1c254c98e59a236f1ce25257e911e2ca8ccfcc29/laba_6%2FREADME.md,"@@ -10,6 +10,8 @@
 
 ## Results
 
+#### Процент совпадения - 97%
+
 0. 
 
 ![](letters/0.bmp)"
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,63493217e50d54650dad7451d5a034ced4074334,laba_8/README.md,,"Thu, 03 Jun 2021 04:10:57 GMT",modified,15,0,15,https://github.com/CrashCumber/audio_vizual_information/blob/1c254c98e59a236f1ce25257e911e2ca8ccfcc29/laba_8%2FREADME.md,"@@ -64,10 +64,6 @@
 
 
 ## Изменяем f
-- c = 1 , f = -10 , y = 1
-
-![](results/text1.0-10.01.0.png)
-![](hists/text1-101.png)
 
 - c = 1 , f = 10 , y = 1
 
@@ -84,11 +80,6 @@
 ![](results/text1.050.01.0.png)
 ![](hists/text1501.png)
 
-- c = 1 , f = 256 , y = 1
-
-![](results/text1.0256.01.0.png)
-![](hists/text12561.png)
-
 
 
 
@@ -153,10 +144,7 @@
 
 
 ## Изменяем f
-- c = 1 , f = -10 , y = 1
 
-![](results/corgi1.0-10.01.0.png)
-![](hists/corgi1-101.png)
 
 - c = 1 , f = 10 , y = 1
 
@@ -173,7 +161,4 @@
 ![](results/corgi1.050.01.0.png)
 ![](hists/corgi1501.png)
 
-- c = 1 , f = 256 , y = 1
 
-![](results/corgi1.0256.01.0.png)
-![](hists/corgi12561.png)"
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,b20b73463bf68f8050c9983fd6b5b26268100013,laba_8/hists/corgi1-101.png,,"Thu, 03 Jun 2021 04:10:57 GMT",modified,0,0,0,https://github.com/CrashCumber/audio_vizual_information/blob/1c254c98e59a236f1ce25257e911e2ca8ccfcc29/laba_8%2Fhists%2Fcorgi1-101.png,
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,d7474a79bf69d71c5b239641a2ef278485c116ef,laba_8/hists/corgi1.501.png,,"Thu, 03 Jun 2021 04:10:57 GMT",modified,0,0,0,https://github.com/CrashCumber/audio_vizual_information/blob/1c254c98e59a236f1ce25257e911e2ca8ccfcc29/laba_8%2Fhists%2Fcorgi1.501.png,
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,0106942e4ce80d9993b1bb96c5ba0d59394787c8,laba_8/hists/corgi11001.png,,"Thu, 03 Jun 2021 04:10:57 GMT",modified,0,0,0,https://github.com/CrashCumber/audio_vizual_information/blob/1c254c98e59a236f1ce25257e911e2ca8ccfcc29/laba_8%2Fhists%2Fcorgi11001.png,
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,a07a6cef33a00c56b04e043419529509f1b001b6,laba_8/hists/corgi1101.png,,"Thu, 03 Jun 2021 04:10:57 GMT",modified,0,0,0,https://github.com/CrashCumber/audio_vizual_information/blob/1c254c98e59a236f1ce25257e911e2ca8ccfcc29/laba_8%2Fhists%2Fcorgi1101.png,
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,81cb9ca38de5d1bf5719cafb83a36c9d3b857a96,laba_8/hists/corgi12561.png,,"Thu, 03 Jun 2021 04:10:57 GMT",modified,0,0,0,https://github.com/CrashCumber/audio_vizual_information/blob/1c254c98e59a236f1ce25257e911e2ca8ccfcc29/laba_8%2Fhists%2Fcorgi12561.png,
1c254c98e59a236f1ce25257e911e2ca8ccfcc29,ab73704378cd981d0659df4fdece75b520e3fc5e,laba_8/hists/corgi1501.png,,"Thu, 03 Jun 2021 04:10:57 GMT",modified,0,0,0,https://github.com/CrashCumber/audio_vizual_information/blob/1c254c98e59a236f1ce25257e911e2ca8ccfcc29/laba_8%2Fhists%2Fcorgi1501.png,
