sha,message,url,html_url,comments_url,tree_sha,tree_url,stats_additions,stats_deletions,stats_total,author_id,committer_id,create_date,commit_date
d033abe4a66f2728c35886278148b0e38e7dbe4f,"Create .golangci.yaml

Signed-off-by: Corey Daley <cdaley@redhat.com>",https://api.github.com/repos/gorilla/mux/commits/d033abe4a66f2728c35886278148b0e38e7dbe4f,https://github.com/gorilla/mux/commit/d033abe4a66f2728c35886278148b0e38e7dbe4f,https://api.github.com/repos/gorilla/mux/commits/d033abe4a66f2728c35886278148b0e38e7dbe4f/comments,793308e677b84fc0437bf85274fcf27ae65b5071,https://api.github.com/repos/gorilla/mux/git/trees/793308e677b84fc0437bf85274fcf27ae65b5071,12,0,12,5060301,19864447,2023-08-23 01:41:23+00:00,2023-08-23 01:41:23+00:00
85123bf20e069b156415b871dea10517f6a8938a,"changed the routeVariables text content. (#708)

Before changing the context there is a blind spot, and for this reason,
decided to add a line break.

Co-authored-by: Corey Daley <cdaley@redhat.com>",https://api.github.com/repos/gorilla/mux/commits/85123bf20e069b156415b871dea10517f6a8938a,https://github.com/gorilla/mux/commit/85123bf20e069b156415b871dea10517f6a8938a,https://api.github.com/repos/gorilla/mux/commits/85123bf20e069b156415b871dea10517f6a8938a/comments,5c393e96ba9c4e9312b43d5f437ab6bd69b7060f,https://api.github.com/repos/gorilla/mux/git/trees/5c393e96ba9c4e9312b43d5f437ab6bd69b7060f,2,1,3,93247057,19864447,2023-08-17 15:29:52+00:00,2023-08-17 15:29:52+00:00
79f2f457ca5017e08de9f86ada03939a82dbf714,"Clarify documentation examples of Route methods (#672)

Fixes #666 

**Summary of Changes**

1. Update `Route` method documentation comments where the example in the
comments showed a `Router` before. Updated method names include:
    * `Headers`
    * `HeadersRegexp`
    * `Host`
    * `Path`
    * `Queries`
    * `Subrouter`
    * `URL`

Notes:
* This includes what PR #667 did plus some changes requested by a
maintainer in the comments
* I was a little torn about changing the example in `Subrouter` since
`(*Router).Host()` (like several `(*Router)` methods) just calls
`(*Router).NewRoute().Host()` so I understand if maintainers are
ambivalent about that example or want it to remain the same.

Signed-off-by: Corey Daley <cdaley@redhat.com>
Co-authored-by: Andrew Brown <andrew.brown@logicmonitor.com>
Co-authored-by: Corey Daley <cdaley@redhat.com>",https://api.github.com/repos/gorilla/mux/commits/79f2f457ca5017e08de9f86ada03939a82dbf714,https://github.com/gorilla/mux/commit/79f2f457ca5017e08de9f86ada03939a82dbf714,https://api.github.com/repos/gorilla/mux/commits/79f2f457ca5017e08de9f86ada03939a82dbf714/comments,0c9ebe2a6371a9253469c2d14b6330117bb271b0,https://api.github.com/repos/gorilla/mux/git/trees/0c9ebe2a6371a9253469c2d14b6330117bb271b0,7,7,14,8261769,19864447,2023-08-17 04:48:59+00:00,2023-08-17 04:48:59+00:00
395ad81d0ebffa0c5a36f3e5a2e720a7d5870d92,"[BUG] Inconsistent HTTP status code on query mismatch (#712)

The logical behavior of a router should return an HTTP status code of
404 when a request fails to satisfy route validation logic. Previously,
MUX was returning a 405 HTTP status code in some rare scenarios, which
was not valid in its case.

For more info, See: https://github.com/gorilla/mux/issues/704

Fixes #704 

**Summary of Changes**

1. Clear the mismatch error of the previous validations on method match.
2. Added related tests

> PS: Make sure your PR includes/updates tests! If you need help with
this part, just ask!

Co-authored-by: Corey Daley <cdaley@redhat.com>",https://api.github.com/repos/gorilla/mux/commits/395ad81d0ebffa0c5a36f3e5a2e720a7d5870d92,https://github.com/gorilla/mux/commit/395ad81d0ebffa0c5a36f3e5a2e720a7d5870d92,https://api.github.com/repos/gorilla/mux/commits/395ad81d0ebffa0c5a36f3e5a2e720a7d5870d92/comments,28a6d9fa5d2de899506ca68cfd8a84c2c764d00d,https://api.github.com/repos/gorilla/mux/git/trees/28a6d9fa5d2de899506ca68cfd8a84c2c764d00d,57,0,57,17524113,19864447,2023-08-17 01:34:43+00:00,2023-08-17 01:34:43+00:00
24c3e7f499efd8b1429cfe789c7e6a3631357045,"Fix  `Single Page Application` example in `README.md` file (#678)

Fixes #588

**Summary of Changes**

1. Add test case to validate proposed fix (both negative and positive
test case).
2. Update `README.md` file.

PS: If you want to verify how I'm able to reproduce the issue and tried
my fix. Here is a link of my local PR where I have configured `Github
Action` to execute same test cases on all the platforms i.e. `ubuntu`,
`macos` and `windows`.

PR link: https://github.com/amustaque97/mux/pull/1

> PS: Make sure your PR includes/updates tests! If you need help with
this part, just ask!

---------

Co-authored-by: Corey Daley <cdaley@redhat.com>",https://api.github.com/repos/gorilla/mux/commits/24c3e7f499efd8b1429cfe789c7e6a3631357045,https://github.com/gorilla/mux/commit/24c3e7f499efd8b1429cfe789c7e6a3631357045,https://api.github.com/repos/gorilla/mux/commits/24c3e7f499efd8b1429cfe789c7e6a3631357045/comments,458b2ff64d97ee4d2ae4dfb5cd261ff1fee32821,https://api.github.com/repos/gorilla/mux/git/trees/458b2ff64d97ee4d2ae4dfb5cd261ff1fee32821,3,12,15,21127788,19864447,2023-08-16 02:08:21+00:00,2023-08-16 02:08:21+00:00
546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4,"run go fmt with Go 1.20 (#725)

<!--
For Work In Progress Pull Requests, please use the Draft PR feature,
see https://github.blog/2019-02-14-introducing-draft-pull-requests/ for
further details.

     For a timely review/response, please avoid force-pushing additional
     commits if your PR already received reviews or comments.

     Before submitting a Pull Request, please ensure that you have:
- 📖 Read the Contributing guide:
https://github.com/gorilla/.github/blob/main/CONTRIBUTING.md
- 📖 Read the Code of Conduct:
https://github.com/gorilla/.github/blob/main/CODE_OF_CONDUCT.md

     - Provide tests for your changes.
     - Use descriptive commit messages.
	 - Comment your code where appropriate.
	 - Squash your commits
     - Update any related documentation.

     - Add gorilla/pull-request-reviewers as a Reviewer
-->

## What type of PR is this? (check all applicable)

- [ ] Refactor
- [ ] Feature
- [ ] Bug Fix
- [ ] Optimization
- [x] Documentation Update

## Description

`go fmt` now formats godoc comments. I apply it.

## Related Tickets & Documents

<!--
For pull requests that relate or close an issue, please include them
below. We like to follow [Github's guidance on linking issues to pull
requests](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue).

For example having the text: ""closes #1234"" would connect the current
pull
request to issue 1234.  And when we merge the pull request, Github will
automatically close the issue.
-->

- Related Issue #
- Closes #

## Added/updated tests?

- [ ] Yes
- [x] No, and this is why: this pull request updates only comments
- [ ] I need help with writing tests

## Run verifications and test

- [x] `make verify` is passing
- [x] `make test` is passing

Co-authored-by: Corey Daley <cdaley@redhat.com>",https://api.github.com/repos/gorilla/mux/commits/546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4,https://github.com/gorilla/mux/commit/546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4,https://api.github.com/repos/gorilla/mux/commits/546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4/comments,f81b54ccf92f163acee728f51e4ee24f9483b7cc,https://api.github.com/repos/gorilla/mux/git/trees/f81b54ccf92f163acee728f51e4ee24f9483b7cc,19,20,39,1157344,19864447,2023-07-31 01:44:28+00:00,2023-07-31 01:44:28+00:00
651928c42f7b60c7942e46d5f651dd1ece444246,"Update issues.yml (#727)

<!--
For Work In Progress Pull Requests, please use the Draft PR feature,
see https://github.blog/2019-02-14-introducing-draft-pull-requests/ for
further details.

     For a timely review/response, please avoid force-pushing additional
     commits if your PR already received reviews or comments.

     Before submitting a Pull Request, please ensure that you have:
- 📖 Read the Contributing guide:
https://github.com/gorilla/.github/blob/main/CONTRIBUTING.md
- 📖 Read the Code of Conduct:
https://github.com/gorilla/.github/blob/main/CODE_OF_CONDUCT.md

     - Provide tests for your changes.
     - Use descriptive commit messages.
	 - Comment your code where appropriate.
	 - Squash your commits
     - Update any related documentation.

     - Add gorilla/pull-request-reviewers as a Reviewer
-->

## What type of PR is this? (check all applicable)

- [ ] Refactor
- [ ] Feature
- [ ] Bug Fix
- [ ] Optimization
- [ ] Documentation Update

## Description

## Related Tickets & Documents

<!--
For pull requests that relate or close an issue, please include them
below. We like to follow [Github's guidance on linking issues to pull
requests](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue).

For example having the text: ""closes #1234"" would connect the current
pull
request to issue 1234.  And when we merge the pull request, Github will
automatically close the issue.
-->

- Related Issue #
- Closes #

## Added/updated tests?

- [ ] Yes
- [ ] No, and this is why: _please replace this line with details on why
tests
      have not been included_
- [ ] I need help with writing tests

## Run verifications and test

- [ ] `make verify` is passing
- [ ] `make test` is passing

Signed-off-by: Corey Daley <cdaley@redhat.com>",https://api.github.com/repos/gorilla/mux/commits/651928c42f7b60c7942e46d5f651dd1ece444246,https://github.com/gorilla/mux/commit/651928c42f7b60c7942e46d5f651dd1ece444246,https://api.github.com/repos/gorilla/mux/commits/651928c42f7b60c7942e46d5f651dd1ece444246/comments,0ce4d030dfd6c63a1c7a6f735b8ff4d160516bcd,https://api.github.com/repos/gorilla/mux/git/trees/0ce4d030dfd6c63a1c7a6f735b8ff4d160516bcd,1,0,1,5060301,19864447,2023-07-30 16:37:42+00:00,2023-07-30 16:37:42+00:00
cfc696d6d239ff68ceb71ee35c9a4e4ef3f30ed9,"Update issues.yml (#726)

<!--
For Work In Progress Pull Requests, please use the Draft PR feature,
see https://github.blog/2019-02-14-introducing-draft-pull-requests/ for
further details.

     For a timely review/response, please avoid force-pushing additional
     commits if your PR already received reviews or comments.

     Before submitting a Pull Request, please ensure that you have:
- 📖 Read the Contributing guide:
https://github.com/gorilla/.github/blob/main/CONTRIBUTING.md
- 📖 Read the Code of Conduct:
https://github.com/gorilla/.github/blob/main/CODE_OF_CONDUCT.md

     - Provide tests for your changes.
     - Use descriptive commit messages.
	 - Comment your code where appropriate.
	 - Squash your commits
     - Update any related documentation.

     - Add gorilla/pull-request-reviewers as a Reviewer
-->

## What type of PR is this? (check all applicable)

- [ ] Refactor
- [ ] Feature
- [ ] Bug Fix
- [ ] Optimization
- [ ] Documentation Update

## Description

## Related Tickets & Documents

<!--
For pull requests that relate or close an issue, please include them
below. We like to follow [Github's guidance on linking issues to pull
requests](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue).

For example having the text: ""closes #1234"" would connect the current
pull
request to issue 1234.  And when we merge the pull request, Github will
automatically close the issue.
-->

- Related Issue #
- Closes #

## Added/updated tests?

- [ ] Yes
- [ ] No, and this is why: _please replace this line with details on why
tests
      have not been included_
- [ ] I need help with writing tests

## Run verifications and test

- [ ] `make verify` is passing
- [ ] `make test` is passing

Signed-off-by: Corey Daley <cdaley@redhat.com>",https://api.github.com/repos/gorilla/mux/commits/cfc696d6d239ff68ceb71ee35c9a4e4ef3f30ed9,https://github.com/gorilla/mux/commit/cfc696d6d239ff68ceb71ee35c9a4e4ef3f30ed9,https://api.github.com/repos/gorilla/mux/commits/cfc696d6d239ff68ceb71ee35c9a4e4ef3f30ed9/comments,c011f62a09ad735aae7f8112441d1118ef5c24e6,https://api.github.com/repos/gorilla/mux/git/trees/c011f62a09ad735aae7f8112441d1118ef5c24e6,2,2,4,5060301,19864447,2023-07-30 16:23:57+00:00,2023-07-30 16:23:57+00:00
809d12850fc170caa4229eb2da58a4701c9837b8,"Update LICENSE (#723)

<!--
For Work In Progress Pull Requests, please use the Draft PR feature,
see https://github.blog/2019-02-14-introducing-draft-pull-requests/ for
further details.

     For a timely review/response, please avoid force-pushing additional
     commits if your PR already received reviews or comments.

     Before submitting a Pull Request, please ensure that you have:
- 📖 Read the Contributing guide:
https://github.com/gorilla/.github/blob/main/CONTRIBUTING.md
- 📖 Read the Code of Conduct:
https://github.com/gorilla/.github/blob/main/CODE_OF_CONDUCT.md

     - Provide tests for your changes.
     - Use descriptive commit messages.
	 - Comment your code where appropriate.
	 - Squash your commits
     - Update any related documentation.

     - Add gorilla/pull-request-reviewers as a Reviewer
-->

## What type of PR is this? (check all applicable)

- [ ] Refactor
- [ ] Feature
- [ ] Bug Fix
- [ ] Optimization
- [ ] Documentation Update

## Description

## Related Tickets & Documents

<!--
For pull requests that relate or close an issue, please include them
below. We like to follow [Github's guidance on linking issues to pull
requests](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue).

For example having the text: ""closes #1234"" would connect the current
pull
request to issue 1234.  And when we merge the pull request, Github will
automatically close the issue.
-->

- Related Issue #
- Closes #

## Added/updated tests?

- [ ] Yes
- [ ] No, and this is why: _please replace this line with details on why
tests
      have not been included_
- [ ] I need help with writing tests

## Run verifications and test

- [ ] `make verify` is passing
- [ ] `make test` is passing

Signed-off-by: Corey Daley <cdaley@redhat.com>",https://api.github.com/repos/gorilla/mux/commits/809d12850fc170caa4229eb2da58a4701c9837b8,https://github.com/gorilla/mux/commit/809d12850fc170caa4229eb2da58a4701c9837b8,https://api.github.com/repos/gorilla/mux/commits/809d12850fc170caa4229eb2da58a4701c9837b8/comments,15525f711aa4496a5537a99439366946e9afb4a6,https://api.github.com/repos/gorilla/mux/git/trees/15525f711aa4496a5537a99439366946e9afb4a6,24,10,34,5060301,19864447,2023-07-25 17:19:44+00:00,2023-07-25 17:19:44+00:00
753457f3059d3db9a96f9f4c67d7f3724e97478d,"Updated the logo in README.md (#724)

<!--
For Work In Progress Pull Requests, please use the Draft PR feature,
see https://github.blog/2019-02-14-introducing-draft-pull-requests/ for
further details.

     For a timely review/response, please avoid force-pushing additional
     commits if your PR already received reviews or comments.

     Before submitting a Pull Request, please ensure that you have:
- 📖 Read the Contributing guide:
https://github.com/gorilla/.github/blob/main/CONTRIBUTING.md
- 📖 Read the Code of Conduct:
https://github.com/gorilla/.github/blob/main/CODE_OF_CONDUCT.md

     - Provide tests for your changes.
     - Use descriptive commit messages.
	 - Comment your code where appropriate.
	 - Squash your commits
     - Update any related documentation.

     - Add gorilla/pull-request-reviewers as a Reviewer
-->

## What type of PR is this? (check all applicable)

- [ ] Refactor
- [ ] Feature
- [ ] Bug Fix
- [ ] Optimization
- [x] Documentation Update

## Description

## Related Tickets & Documents

<!--
For pull requests that relate or close an issue, please include them
below. We like to follow [Github's guidance on linking issues to pull
requests](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue).

For example having the text: ""closes #1234"" would connect the current
pull
request to issue 1234.  And when we merge the pull request, Github will
automatically close the issue.
-->

- Related Issue #710
- Closes #710

## Added/updated tests?

- [ ] Yes
- [ ] No, and this is why: _please replace this line with details on why
tests
      have not been included_
- [ ] I need help with writing tests

## Run verifications and test

- [ ] `make verify` is passing
- [ ] `make test` is passing

Signed-off-by: Sham Karthik S <53367916+shamkarthik@users.noreply.github.com>",https://api.github.com/repos/gorilla/mux/commits/753457f3059d3db9a96f9f4c67d7f3724e97478d,https://github.com/gorilla/mux/commit/753457f3059d3db9a96f9f4c67d7f3724e97478d,https://api.github.com/repos/gorilla/mux/commits/753457f3059d3db9a96f9f4c67d7f3724e97478d/comments,3c1a713c49c232c0dd9152b9d3dab997e7c6b29d,https://api.github.com/repos/gorilla/mux/git/trees/3c1a713c49c232c0dd9152b9d3dab997e7c6b29d,1,1,2,53367916,19864447,2023-07-25 16:35:16+00:00,2023-07-25 16:35:16+00:00
