commit_sha,sha,filename,previous_filename,last_modified,status,additions,deletions,changes,patch,content_url,blob_url
d033abe4a66f2728c35886278148b0e38e7dbe4f,1def5e62740f585fceedf9954077eff871ad66d8,.golangci.yaml,,"Wed, 23 Aug 2023 01:41:23 GMT",added,12,0,12,"@@ -0,0 +1,12 @@
+linters:
+  enable:
+    - errcheck
+    - gosimple
+    - govet
+    - ineffassign
+    - staticcheck
+    - unused
+    - contextcheck
+    - goconst
+    - gofmt
+    - misspell",https://api.github.com/repos/gorilla/mux/contents/.golangci.yaml?ref=d033abe4a66f2728c35886278148b0e38e7dbe4f,https://github.com/gorilla/mux/blob/d033abe4a66f2728c35886278148b0e38e7dbe4f/.golangci.yaml
85123bf20e069b156415b871dea10517f6a8938a,9e49b24b880bb11775ecb3f9d881758c736e2b63,README.md,,"Thu, 17 Aug 2023 15:29:52 GMT",modified,2,1,3,"@@ -749,7 +749,8 @@ func TestMetricsHandler(t *testing.T) {
 
         rr := httptest.NewRecorder()
 	
-	// Need to create a router that we can pass the request through so that the vars will be added to the context
+	// To add the vars to the context, 
+	// we need to create a router through which we can pass the request.
 	router := mux.NewRouter()
         router.HandleFunc(""/metrics/{type}"", MetricsHandler)
         router.ServeHTTP(rr, req)",https://api.github.com/repos/gorilla/mux/contents/README.md?ref=85123bf20e069b156415b871dea10517f6a8938a,https://github.com/gorilla/mux/blob/85123bf20e069b156415b871dea10517f6a8938a/README.md
79f2f457ca5017e08de9f86ada03939a82dbf714,cd85f4b382471e5c9c1c7ad707d8856da16beb05,route.go,,"Thu, 17 Aug 2023 04:48:59 GMT",modified,7,7,14,"@@ -240,7 +240,7 @@ func (m headerMatcher) Match(r *http.Request, match *RouteMatch) bool {
 // Headers adds a matcher for request header values.
 // It accepts a sequence of key/value pairs to be matched. For example:
 //
-//	r := mux.NewRouter()
+//	r := mux.NewRouter().NewRoute()
 //	r.Headers(""Content-Type"", ""application/json"",
 //	          ""X-Requested-With"", ""XMLHttpRequest"")
 //
@@ -265,7 +265,7 @@ func (m headerRegexMatcher) Match(r *http.Request, match *RouteMatch) bool {
 // HeadersRegexp accepts a sequence of key/value pairs, where the value has regex
 // support. For example:
 //
-//	r := mux.NewRouter()
+//	r := mux.NewRouter().NewRoute()
 //	r.HeadersRegexp(""Content-Type"", ""application/(text|json)"",
 //	          ""X-Requested-With"", ""XMLHttpRequest"")
 //
@@ -293,7 +293,7 @@ func (r *Route) HeadersRegexp(pairs ...string) *Route {
 //
 // For example:
 //
-//	r := mux.NewRouter()
+//	r := mux.NewRouter().NewRoute()
 //	r.Host(""www.example.com"")
 //	r.Host(""{subdomain}.domain.com"")
 //	r.Host(""{subdomain:[a-z]+}.domain.com"")
@@ -352,7 +352,7 @@ func (r *Route) Methods(methods ...string) *Route {
 //
 // For example:
 //
-//	r := mux.NewRouter()
+//	r := mux.NewRouter().NewRoute()
 //	r.Path(""/products/"").Handler(ProductsHandler)
 //	r.Path(""/products/{key}"").Handler(ProductsHandler)
 //	r.Path(""/articles/{category}/{id:[0-9]+}"").
@@ -387,7 +387,7 @@ func (r *Route) PathPrefix(tpl string) *Route {
 // It accepts a sequence of key/value pairs. Values may define variables.
 // For example:
 //
-//	r := mux.NewRouter()
+//	r := mux.NewRouter().NewRoute()
 //	r.Queries(""foo"", ""bar"", ""id"", ""{id:[0-9]+}"")
 //
 // The above route will only match if the URL contains the defined queries
@@ -483,7 +483,7 @@ func (r *Route) BuildVarsFunc(f BuildVarsFunc) *Route {
 //
 // It will test the inner routes only if the parent route matched. For example:
 //
-//	r := mux.NewRouter()
+//	r := mux.NewRouter().NewRoute()
 //	s := r.Host(""www.example.com"").Subrouter()
 //	s.HandleFunc(""/products/"", ProductsHandler)
 //	s.HandleFunc(""/products/{key}"", ProductHandler)
@@ -534,7 +534,7 @@ func (r *Route) Subrouter() *Router {
 // The scheme of the resulting url will be the first argument that was passed to Schemes:
 //
 //	// url.String() will be ""https://example.com""
-//	r := mux.NewRouter()
+//	r := mux.NewRouter().NewRoute()
 //	url, err := r.Host(""example.com"")
 //	             .Schemes(""https"", ""http"").URL()
 //",https://api.github.com/repos/gorilla/mux/contents/route.go?ref=79f2f457ca5017e08de9f86ada03939a82dbf714,https://github.com/gorilla/mux/blob/79f2f457ca5017e08de9f86ada03939a82dbf714/route.go
395ad81d0ebffa0c5a36f3e5a2e720a7d5870d92,bd97d33b30c71dc1aa65d860319fa1a5c73d0af1,mux_test.go,,"Thu, 17 Aug 2023 01:34:43 GMT",modified,47,0,47,"@@ -2069,6 +2069,53 @@ func TestNoMatchMethodErrorHandler(t *testing.T) {
 	}
 }
 
+func TestMultipleDefinitionOfSamePathWithDifferentMethods(t *testing.T) {
+	emptyHandler := func(w http.ResponseWriter, r *http.Request) {}
+
+	r := NewRouter()
+	r.HandleFunc(""/api"", emptyHandler).Methods(""POST"")
+	r.HandleFunc(""/api"", emptyHandler).Queries(""time"", ""{time:[0-9]+}"").Methods(""GET"")
+
+	t.Run(""Post Method should be matched properly"", func(t *testing.T) {
+		req, _ := http.NewRequest(""POST"", ""http://localhost/api"", nil)
+		match := new(RouteMatch)
+		matched := r.Match(req, match)
+		if !matched {
+			t.Error(""Should have matched route for methods"")
+		}
+		if match.MatchErr != nil {
+			t.Error(""Should not have any matching error. Found:"", match.MatchErr)
+		}
+	})
+
+	t.Run(""Get Method with invalid query value should not match"", func(t *testing.T) {
+		req, _ := http.NewRequest(""GET"", ""http://localhost/api?time=-4"", nil)
+		match := new(RouteMatch)
+		matched := r.Match(req, match)
+		if matched {
+			t.Error(""Should not have matched route for methods"")
+		}
+		if match.MatchErr != ErrNotFound {
+			t.Error(""Should have ErrNotFound error. Found:"", match.MatchErr)
+		}
+	})
+
+	t.Run(""A mismach method of a valid path should return ErrMethodMismatch"", func(t *testing.T) {
+		r := NewRouter()
+		r.HandleFunc(""/api2"", emptyHandler).Methods(""POST"")
+		req, _ := http.NewRequest(""GET"", ""http://localhost/api2"", nil)
+		match := new(RouteMatch)
+		matched := r.Match(req, match)
+		if matched {
+			t.Error(""Should not have matched route for methods"")
+		}
+		if match.MatchErr != ErrMethodMismatch {
+			t.Error(""Should have ErrMethodMismatch error. Found:"", match.MatchErr)
+		}
+	})
+
+}
+
 func TestErrMatchNotFound(t *testing.T) {
 	emptyHandler := func(w http.ResponseWriter, r *http.Request) {}
 ",https://api.github.com/repos/gorilla/mux/contents/mux_test.go?ref=395ad81d0ebffa0c5a36f3e5a2e720a7d5870d92,https://github.com/gorilla/mux/blob/395ad81d0ebffa0c5a36f3e5a2e720a7d5870d92/mux_test.go
395ad81d0ebffa0c5a36f3e5a2e720a7d5870d92,abea99be68da2256691cf2226150f33c66b280f1,route.go,,"Thu, 17 Aug 2023 01:34:43 GMT",modified,10,0,10,"@@ -66,6 +66,16 @@ func (r *Route) Match(req *http.Request, match *RouteMatch) bool {
 
 			matchErr = nil // nolint:ineffassign
 			return false
+		} else {
+			// Multiple routes may share the same path but use different HTTP methods. For instance:
+			// Route 1: POST ""/users/{id}"".
+			// Route 2: GET ""/users/{id}"", parameters: ""id"": ""[0-9]+"".
+			//
+			// The router must handle these cases correctly. For a GET request to ""/users/abc"" with ""id"" as ""-2"",
+			// The router should return a ""Not Found"" error as no route fully matches this request.
+			if match.MatchErr == ErrMethodMismatch {
+				match.MatchErr = nil
+			}
 		}
 	}
 ",https://api.github.com/repos/gorilla/mux/contents/route.go?ref=395ad81d0ebffa0c5a36f3e5a2e720a7d5870d92,https://github.com/gorilla/mux/blob/395ad81d0ebffa0c5a36f3e5a2e720a7d5870d92/route.go
24c3e7f499efd8b1429cfe789c7e6a3631357045,f3cdc9c48a3f9c2b46eecf58801a35b2b834ac2c,README.md,,"Wed, 16 Aug 2023 02:08:21 GMT",modified,3,12,15,"@@ -247,20 +247,11 @@ type spaHandler struct {
 // file located at the index path on the SPA handler will be served. This
 // is suitable behavior for serving an SPA (single page application).
 func (h spaHandler) ServeHTTP(w http.ResponseWriter, r *http.Request) {
-    // get the absolute path to prevent directory traversal
-	path, err := filepath.Abs(r.URL.Path)
-	if err != nil {
-        // if we failed to get the absolute path respond with a 400 bad request
-        // and stop
-		http.Error(w, err.Error(), http.StatusBadRequest)
-		return
-	}
-
-    // prepend the path with the path to the static directory
-	path = filepath.Join(h.staticPath, path)
+    // Join internally call path.Clean to prevent directory traversal
+    path := filepath.Join(h.staticPath, path)
 
     // check whether a file exists at the given path
-	_, err = os.Stat(path)
+	_, err := os.Stat(path)
 	if os.IsNotExist(err) {
 		// file does not exist, serve index.html
 		http.ServeFile(w, r, filepath.Join(h.staticPath, h.indexPath))",https://api.github.com/repos/gorilla/mux/contents/README.md?ref=24c3e7f499efd8b1429cfe789c7e6a3631357045,https://github.com/gorilla/mux/blob/24c3e7f499efd8b1429cfe789c7e6a3631357045/README.md
546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4,80601351fd071c44b7c0a740e7d3a55520adcfc8,doc.go,,"Mon, 31 Jul 2023 01:44:28 GMT",modified,12,13,25,"@@ -10,18 +10,18 @@ http.ServeMux, mux.Router matches incoming requests against a list of
 registered routes and calls a handler for the route that matches the URL
 or other conditions. The main features are:
 
-	* Requests can be matched based on URL host, path, path prefix, schemes,
-	  header and query values, HTTP methods or using custom matchers.
-	* URL hosts, paths and query values can have variables with an optional
-	  regular expression.
-	* Registered URLs can be built, or ""reversed"", which helps maintaining
-	  references to resources.
-	* Routes can be used as subrouters: nested routes are only tested if the
-	  parent route matches. This is useful to define groups of routes that
-	  share common conditions like a host, a path prefix or other repeated
-	  attributes. As a bonus, this optimizes request matching.
-	* It implements the http.Handler interface so it is compatible with the
-	  standard http.ServeMux.
+  - Requests can be matched based on URL host, path, path prefix, schemes,
+    header and query values, HTTP methods or using custom matchers.
+  - URL hosts, paths and query values can have variables with an optional
+    regular expression.
+  - Registered URLs can be built, or ""reversed"", which helps maintaining
+    references to resources.
+  - Routes can be used as subrouters: nested routes are only tested if the
+    parent route matches. This is useful to define groups of routes that
+    share common conditions like a host, a path prefix or other repeated
+    attributes. As a bonus, this optimizes request matching.
+  - It implements the http.Handler interface so it is compatible with the
+    standard http.ServeMux.
 
 Let's start registering a couple of URL paths and handlers:
 
@@ -301,6 +301,5 @@ A more complex authentication middleware, which maps session token to users, cou
 	r.Use(amw.Middleware)
 
 Note: The handler chain will be stopped if your middleware doesn't call `next.ServeHTTP()` with the corresponding parameters. This can be used to abort a request if the middleware writer wants to.
-
 */
 package mux",https://api.github.com/repos/gorilla/mux/contents/doc.go?ref=546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4,https://github.com/gorilla/mux/blob/546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4/doc.go
546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4,1e089906fad5715477ba0c785562a43f0d987a8a,mux.go,,"Mon, 31 Jul 2023 01:44:28 GMT",modified,7,7,14,"@@ -31,17 +31,17 @@ func NewRouter() *Router {
 // It implements the http.Handler interface, so it can be registered to serve
 // requests:
 //
-//     var router = mux.NewRouter()
+//	var router = mux.NewRouter()
 //
-//     func main() {
-//         http.Handle(""/"", router)
-//     }
+//	func main() {
+//	    http.Handle(""/"", router)
+//	}
 //
 // Or, for Google App Engine, register it in a init() function:
 //
-//     func init() {
-//         http.Handle(""/"", router)
-//     }
+//	func init() {
+//	    http.Handle(""/"", router)
+//	}
 //
 // This will send all incoming requests to the router.
 type Router struct {",https://api.github.com/repos/gorilla/mux/contents/mux.go?ref=546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4,https://github.com/gorilla/mux/blob/546dd0cc9f3ecdef8b065ac6336b4c6ed99887d4/mux.go
651928c42f7b60c7942e46d5f651dd1ece444246,8be6cedb260adf9827964b68e26e33eca59268a8,.github/workflows/issues.yml,,"Sun, 30 Jul 2023 16:37:42 GMT",modified,1,0,1,"@@ -8,6 +8,7 @@ on:
   pull_request_target:
     types:
       - opened
+      - reopened
 
 jobs:
   add-to-project:",https://api.github.com/repos/gorilla/mux/contents/.github%2Fworkflows%2Fissues.yml?ref=651928c42f7b60c7942e46d5f651dd1ece444246,https://github.com/gorilla/mux/blob/651928c42f7b60c7942e46d5f651dd1ece444246/.github%2Fworkflows%2Fissues.yml
cfc696d6d239ff68ceb71ee35c9a4e4ef3f30ed9,ff9e3183e38af95a22603f0e6f1167c8a28836db,.github/workflows/issues.yml,,"Sun, 30 Jul 2023 16:23:57 GMT",modified,2,2,4,"@@ -5,7 +5,7 @@ on:
   issues:
     types:
       - opened
-  pull_request:
+  pull_request_target:
     types:
       - opened
 
@@ -17,4 +17,4 @@ jobs:
         uses: actions/add-to-project@v0.5.0
         with:
           project-url: https://github.com/orgs/gorilla/projects/4
-          github-token: ${{ secrets.ADD_TO_PROJECT_TOKEN }}
\ No newline at end of file
+          github-token: ${{ secrets.ADD_TO_PROJECT_TOKEN }}",https://api.github.com/repos/gorilla/mux/contents/.github%2Fworkflows%2Fissues.yml?ref=cfc696d6d239ff68ceb71ee35c9a4e4ef3f30ed9,https://github.com/gorilla/mux/blob/cfc696d6d239ff68ceb71ee35c9a4e4ef3f30ed9/.github%2Fworkflows%2Fissues.yml
