commit_sha,name
b4617d0b9670ad14039b2739167fd35a60f557c5,v1.8.1
98cb6bf42e086f6af920b965c38cacc07402d51b,v1.8.0
75dcda0896e109a2a22c9315bca3bb21b87b2ba5,v1.7.4
00bdffe0f3c77e27d2cf6f5c70232a2d3e4d9c15,v1.7.3
ed099d42384823742bba0bf9a72b53b55c9e2e38,v1.7.2
c5c6c98bc25355028a63748a498942a6398ccd22,v1.7.1
a7962380ca08b5a188038c69871b8d3fbdf31e89,v1.7.0
e3702bed27f0d39777b0b37b664b6280e8ef8fbf,v1.6.2
53c1911da2b537f792e7cafcb446b05ffe33b996,v1.6.1
7f08801859139f86dfafd1c296e2cba9a80d292e,v1.6.0
24fca303ac6da784b9e8269f724ddeb0b2eea5e7,v1.5.0
bcd8bc72b08df0f70df986b97f95590779502d31,v1.4.0
392c28fe23e1c45ddba891b0320b3b5df220beea,v1.3.0
b12896167c61cb7a17ee5f15c2ba0729d78793db,v1.2.0
0eeaf8392f5b04950925b8a69fe70f110fa7cbfc,v1.1
