commit.sha,event_type,datetime,user.id,user.login,user.type,commit.stats.additions,commit.stats.deletions,commit.stats.total,commit.commit.message
d033abe4a66f2728c35886278148b0e38e7dbe4f,create_commit,2023-08-23 01:41:23+00:00,5060301,coreydaley,,12,0,12,"Create .golangci.yaml

Signed-off-by: Corey Daley <cdaley@redhat.com>"
d033abe4a66f2728c35886278148b0e38e7dbe4f,commit_commit,2023-08-23 01:41:23+00:00,19864447,web-flow,,12,0,12,"Create .golangci.yaml

Signed-off-by: Corey Daley <cdaley@redhat.com>"
85123bf20e069b156415b871dea10517f6a8938a,create_commit,2023-08-17 15:29:52+00:00,93247057,sumanpaikdev,,2,1,3,"changed the routeVariables text content. (#708)

Before changing the context there is a blind spot, and for this reason,
decided to add a line break.

Co-authored-by: Corey Daley <cdaley@redhat.com>"
85123bf20e069b156415b871dea10517f6a8938a,commit_commit,2023-08-17 15:29:52+00:00,19864447,web-flow,,2,1,3,"changed the routeVariables text content. (#708)

Before changing the context there is a blind spot, and for this reason,
decided to add a line break.

Co-authored-by: Corey Daley <cdaley@redhat.com>"
edda2d6708ad91f8b3e78f59cd142eff6eed6c78,merge_pull_request,2023-08-17 15:29:53+00:00,5060301,coreydaley,,2,1,3,"changed the routeVariables text content.

Before changing the context there is a blind spot, and for this reason, decided to add a line break."
edda2d6708ad91f8b3e78f59cd142eff6eed6c78,create_pull_request,2022-12-09 05:40:27+00:00,93247057,sumanpaikdev,,2,1,3,"changed the routeVariables text content.

Before changing the context there is a blind spot, and for this reason, decided to add a line break."
1bb6a8c8bb138ea5b6dc40c7083e51fac64eb900,merge_pull_request,2023-08-17 15:29:53+00:00,5060301,coreydaley,,361,212,573,Merge branch 'main' into patch-1
1bb6a8c8bb138ea5b6dc40c7083e51fac64eb900,create_pull_request,2022-12-09 05:40:27+00:00,93247057,sumanpaikdev,,361,212,573,Merge branch 'main' into patch-1
85123bf20e069b156415b871dea10517f6a8938a,merge_pull_request,2023-08-17 15:29:53+00:00,5060301,coreydaley,,2,1,3,"changed the routeVariables text content. (#708)

Before changing the context there is a blind spot, and for this reason,
decided to add a line break.

Co-authored-by: Corey Daley <cdaley@redhat.com>"
1bb6a8c8bb138ea5b6dc40c7083e51fac64eb900,add_pull_request_review,2023-08-17 15:23:21+00:00,5060301,coreydaley,,361,212,573,Merge branch 'main' into patch-1
79f2f457ca5017e08de9f86ada03939a82dbf714,create_commit,2023-08-17 04:48:59+00:00,8261769,andrew-werdna,,7,7,14,"Clarify documentation examples of Route methods (#672)

Fixes #666 

**Summary of Changes**

1. Update `Route` method documentation comments where the example in the
comments showed a `Router` before. Updated method names include:
    * `Headers`
    * `HeadersRegexp`
    * `Host`
    * `Path`
    * `Queries`
    * `Subrouter`
    * `URL`

Notes:
* This includes what PR #667 did plus some changes requested by a
maintainer in the comments
* I was a little torn about changing the example in `Subrouter` since
`(*Router).Host()` (like several `(*Router)` methods) just calls
`(*Router).NewRoute().Host()` so I understand if maintainers are
ambivalent about that example or want it to remain the same.

Signed-off-by: Corey Daley <cdaley@redhat.com>
Co-authored-by: Andrew Brown <andrew.brown@logicmonitor.com>
Co-authored-by: Corey Daley <cdaley@redhat.com>"
79f2f457ca5017e08de9f86ada03939a82dbf714,commit_commit,2023-08-17 04:48:59+00:00,19864447,web-flow,,7,7,14,"Clarify documentation examples of Route methods (#672)

Fixes #666 

**Summary of Changes**

1. Update `Route` method documentation comments where the example in the
comments showed a `Router` before. Updated method names include:
    * `Headers`
    * `HeadersRegexp`
    * `Host`
    * `Path`
    * `Queries`
    * `Subrouter`
    * `URL`

Notes:
* This includes what PR #667 did plus some changes requested by a
maintainer in the comments
* I was a little torn about changing the example in `Subrouter` since
`(*Router).Host()` (like several `(*Router)` methods) just calls
`(*Router).NewRoute().Host()` so I understand if maintainers are
ambivalent about that example or want it to remain the same.

Signed-off-by: Corey Daley <cdaley@redhat.com>
Co-authored-by: Andrew Brown <andrew.brown@logicmonitor.com>
Co-authored-by: Corey Daley <cdaley@redhat.com>"
24763f8ce525f596e7fe27281890ce2f8f3847a6,is_assigned_pull_request_to,2022-03-26 22:03:47+00:00,5060301,coreydaley,,7,7,14,"update documentation comments to show intended actions of a 'Route', in examples where a 'Router' was used;"
24763f8ce525f596e7fe27281890ce2f8f3847a6,is_assigned_pull_request_to,2022-03-26 22:03:47+00:00,35304110,apoorvajagtap,,7,7,14,"update documentation comments to show intended actions of a 'Route', in examples where a 'Router' was used;"
24763f8ce525f596e7fe27281890ce2f8f3847a6,merge_pull_request,2023-08-17 04:48:59+00:00,5060301,coreydaley,,7,7,14,"update documentation comments to show intended actions of a 'Route', in examples where a 'Router' was used;"
24763f8ce525f596e7fe27281890ce2f8f3847a6,create_pull_request,2022-03-26 22:03:47+00:00,8261769,andrew-werdna,,7,7,14,"update documentation comments to show intended actions of a 'Route', in examples where a 'Router' was used;"
8520951d91bb8fe85e34d650dc61844e8bb3a673,is_assigned_pull_request_to,2022-03-26 22:03:47+00:00,5060301,coreydaley,,306,205,511,"Merge branch 'main' into issue/666

Signed-off-by: Corey Daley <cdaley@redhat.com>"
