rank,item,repo_name,stars,type,forks,language,repo_url,username,issues,last_commit,description
1,Go,go,107647,foundation,15812,Go,https://github.com/golang/go,golang,7815,2023-01-18T07:23:10Z,The Go programming language
2,Go,kubernetes,95218,foundation,34899,Go,https://github.com/kubernetes/kubernetes,kubernetes,1569,2023-01-18T09:55:06Z,Production-Grade Container Scheduling and Management
3,Go,awesome-go,94802,solo,10642,Go,https://github.com/avelino/awesome-go,avelino,24,2023-01-18T09:37:08Z,"A curated list of awesome Go frameworks, libraries and software"
4,Go,gin,65870,community,7184,Go,https://github.com/gin-gonic/gin,gin-gonic,480,2023-01-17T15:12:55Z,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin."
5,Go,moby,64946,foundation,18457,Go,https://github.com/moby/moby,moby,3978,2023-01-18T09:42:34Z,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
6,Go,hugo,64785,monarchist,6988,Go,https://github.com/gohugoio/hugo,gohugoio,619,2023-01-18T09:21:56Z,The world’s fastest framework for building websites.
7,Go,frp,63591,monarchist,11037,Go,https://github.com/fatedier/frp,fatedier,103,2023-01-15T11:15:48Z,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.
8,Go,fzf,49276,monarchist,2112,Go,https://github.com/junegunn/fzf,junegunn,246,2023-01-17T18:46:14Z,:cherry_blossom: A command-line fuzzy finder
9,Go,syncthing,48772,foundation,3653,Go,https://github.com/syncthing/syncthing,syncthing,331,2023-01-17T19:08:46Z,Open Source Continuous File Synchronization
10,Go,prometheus,46381,foundation,7807,Go,https://github.com/prometheus/prometheus,prometheus,577,2023-01-18T08:00:25Z,The Prometheus monitoring system and time series database.
11,Go,caddy,45377,corporate,3512,Go,https://github.com/caddyserver/caddy,caddyserver,97,2023-01-17T12:07:07Z,Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS
12,Go,etcd,42346,foundation,9015,Go,https://github.com/etcd-io/etcd,etcd-io,139,2023-01-18T08:43:45Z,Distributed reliable key-value store for the most critical data of a distributed system
13,Go,gogs,41501,community,4685,Go,https://github.com/gogs/gogs,gogs,809,2023-01-18T02:07:32Z,Gogs is a painless self-hosted Git service
14,Go,build-web-application-with-golang,41478,community,10692,Go,https://github.com/astaxie/build-web-application-with-golang,astaxie,112,2022-12-29T05:46:04Z,A golang ebook intro how to build a web with golang
15,Go,v2ray-core,41306,monarchist,8543,Go,https://github.com/v2ray/v2ray-core,v2ray,26,2023-01-13T02:32:53Z,A platform for building proxies to bypass network restrictions.
16,Go,traefik,41173,corporate,4457,Go,https://github.com/traefik/traefik,traefik,581,2023-01-12T11:28:05Z,The Cloud Native Application Proxy
17,Go,go-ethereum,40888,foundation,15772,Go,https://github.com/ethereum/go-ethereum,ethereum,262,2023-01-18T08:47:50Z,Official Go implementation of the Ethereum protocol
18,Go,mkcert,39222,monarchist,1995,Go,https://github.com/FiloSottile/mkcert,FiloSottile,80,2023-01-16T15:27:32Z,A simple zero-config tool to make locally trusted development certificates with any names you'd like.
19,Go,minio,37095,corporate,4415,Go,https://github.com/minio/minio,minio,20,2023-01-18T07:46:47Z,Multi-Cloud :cloud: Object Storage 
20,Go,rclone,36596,corporate,3333,Go,https://github.com/rclone/rclone,rclone,775,2023-01-18T07:32:03Z,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Yandex Files"
21,Go,terraform,35835,corporate,8282,Go,https://github.com/hashicorp/terraform,hashicorp,1581,2023-01-18T09:49:42Z,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is an open source tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned."
22,Go,clash,35474,,4732,Go,https://github.com/Dreamacro/clash,Dreamacro,63,2023-01-18T08:58:03Z,A rule-based tunnel in Go.
23,Go,dive,35360,monarchist,1416,Go,https://github.com/wagoodman/dive,wagoodman,121,2023-01-14T08:17:16Z,A tool for exploring each layer in a docker image
24,Go,esbuild,34350,corporate,953,Go,https://github.com/evanw/esbuild,evanw,243,2023-01-17T06:40:40Z,An extremely fast bundler for the web
25,Go,gitea,34235,corporate,4338,Go,https://github.com/go-gitea/gitea,go-gitea,1923,2023-01-18T09:44:02Z,"Git with a cup of tea, painless self-hosted git service"
